,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI,Cluster
236,369,Burgos,PH175109014,Grassland,0,97.41366831,0,0,0,2,3,1,754.8822129,MID
237,370,San Agustin,PH175109014,Brush/Shrubs,0,152.267189,0,0,0,1,2,1,1264.02295,MID
238,371,San Agustin,PH175109014,Brush/Shrubs,0,131.9689941,0,1,0,2,2,1,1081.736545,MID
239,372,Claudio Salgado,PH175109001,Brush/Shrubs,0,125.7727432,1,1,0,2,2,1,1062.389687,MID
240,373,Claudio Salgado,PH175109001,inland water,0,102.8991941,0,1,0,2,2,0,812.5845661,MID
241,374,Malisbong,PH175109023,Grassland,0,45.64625168,0,0,0,3,2,1,353.7239083,LOW
242,375,Malisbong,PH175109023,Built Up,0,183.7136002,1,1,0,3,2,0,1469.569779,MID
243,376,Malisbong,PH175109023,Open Forest,0,36.0824337,0,1,0,2,2,0,284.9393427,LOW
244,377,Ligaya,PH175109023,Open Forest,0,15.88223743,0,0,0,1,2,0,127.0793113,LOW
245,378,Ligaya,PH175109023,Open Forest,0,13.74823221,0,0,0,0,3,0,187.674281,LOW
246,379,Pag-Asa,PH175109008,Open Forest,0,12.62824345,0,0,0,0,3,0,172.3855455,LOW
247,380,Pag-Asa,PH175109008,Brush/Shrubs,0,13.35993767,0,0,0,0,2,1,188.3544081,LOW
248,381,Pag-Asa,PH175109008,Brush/Shrubs,0,24.22939491,0,0,0,0,2,1,341.5969033,LOW
249,382,Malisbong,PH175109003,Brush/Shrubs,0,51.50092888,0,1,0,0,1,1,762.3630255,MID
250,383,Ligaya,PH175109003,Annual Crop,0,140.3841019,1,1,2,0,3,0,1122.966581,MID
251,384,Ligaya,PH175109003,Brush/Shrubs,0,254.2348251,0,1,3,0,2,1,2046.397953,MID
252,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,,LOW
253,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,,LOW
254,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,,LOW
255,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,,LOW
256,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,,LOW
257,399,Burgos,PH175109011,,0,65.69467942,0,0,0,0,3,0,896.7845127,MID
258,400,Pag-Asa,PH175109011,Brush/Shrubs,0,93.06293615,0,1,0,0,3,1,1326.2207,MID
259,401,Pag-Asa,PH175109011,Open Forest,0,160.2734966,1,1,0,2,3,0,1282.066688,MID
260,402,Pag-Asa,PH175109013,Open Forest,0,175.9719486,0,1,0,2,3,0,1363.649437,MID
261,403,San Agustin,PH175109013,inland water,0,109.7009811,0,0,0,2,3,0,817.1892944,MID
262,404,San Agustin,PH175109014,Grassland,0,194.6283989,0,1,0,2,3,1,1566.611329,MID
263,405,San Agustin,PH175109014,Grassland,0,314.3540497,0,0,0,1,2,1,2609.562413,HIGH
264,406,Claudio Salgado,PH175109001,Brush/Shrubs,0,135.6998444,0,0,0,3,2,1,1051.571105,MID
