,HCFAI,Accessibility,
486,107.5775645,Cluster 0,1
487,119.0990721,Cluster 0,1
488,109.5019543,Cluster 0,1
489,103.590943,Cluster 0,1
490,219.5331755,Cluster 0,1
491,225.7241748,Cluster 0,1
492,265.2549968,Cluster 0,1
493,314.3322121,Cluster 0,1
494,165.962753,Cluster 0,1
495,117.3463685,Cluster 0,1
496,102.6703712,Cluster 0,1
497,64.13226438,Cluster 0,1
498,96.20044756,Cluster 0,1
499,143.765076,Cluster 0,1
500,67.62665332,Cluster 0,1
501,66.99436861,Cluster 0,1
502,62.45847144,Cluster 0,1
503,61.67750624,Cluster 0,1
504,71.02495056,Cluster 0,1
505,63.72833237,Cluster 0,1
506,66.59174406,Cluster 0,1
507,106.1237717,Cluster 0,1
508,139.36629,Cluster 0,1
509,154.7901794,Cluster 0,1
510,176.5394003,Cluster 0,1
511,140.0058779,Cluster 0,1
512,179.6231072,Cluster 0,1
513,207.6607132,Cluster 0,1
514,266.2171439,Cluster 0,1
515,336.4059434,Cluster 0,1
516,604.5792366,Cluster 0,1
517,523.2205882,Cluster 0,1
518,149.526794,Cluster 0,1
519,109.4630253,Cluster 0,1
520,110.468158,Cluster 0,1
521,84.82737572,Cluster 0,1
522,178.8483655,Cluster 0,1
523,254.5081607,Cluster 0,1
524,220.4892312,Cluster 0,1
525,281.6233182,Cluster 0,1
526,179.5477603,Cluster 0,1
527,157.979932,Cluster 0,1
528,80.04080368,Cluster 0,1
529,61.84858118,Cluster 0,1
530,84.73791645,Cluster 0,1
531,79.73457321,Cluster 0,1
532,102.3712327,Cluster 0,1
533,77.70712814,Cluster 0,1
534,71.80206139,Cluster 0,1
535,85.80821373,Cluster 0,1
536,97.49616511,Cluster 0,1
537,80.79544844,Cluster 0,1
538,80.42005441,Cluster 0,1
539,95.36994393,Cluster 0,1
540,91.4952556,Cluster 0,1
541,82.75655421,Cluster 0,1
542,55.73724824,Cluster 0,1
543,46.57532862,Cluster 0,1
544,56.56287147,Cluster 0,1
545,198.891888,Cluster 0,1
546,282.4375411,Cluster 0,1
547,412.0568381,Cluster 0,1
548,670.3481305,Cluster 0,1
549,550.5151958,Cluster 0,1
550,113.2051975,Cluster 0,1
551,101.0854193,Cluster 0,1
552,99.73847695,Cluster 0,1
553,148.7740828,Cluster 0,1
554,235.5347867,Cluster 0,1
555,256.79361,Cluster 0,1
556,265.9511344,Cluster 0,1
557,277.709055,Cluster 0,1
558,143.1933593,Cluster 0,1
559,161.0047296,Cluster 0,1
560,126.5472588,Cluster 0,1
561,78.91673275,Cluster 0,1
562,80.69906825,Cluster 0,1
563,99.84412292,Cluster 0,1
564,104.9577733,Cluster 0,1
565,99.87785687,Cluster 0,1
566,84.3552435,Cluster 0,1
567,100.2633418,Cluster 0,1
568,101.592271,Cluster 0,1
569,74.54920873,Cluster 0,1
570,36.25046764,Cluster 0,1
571,23.54822718,Cluster 0,1
572,37.25350368,Cluster 0,1
573,46.03348967,Cluster 0,1
574,42.89758383,Cluster 0,1
575,60.15394901,Cluster 0,1
576,54.23264663,Cluster 0,1
577,176.7595568,Cluster 0,1
578,218.3756296,Cluster 0,1
579,558.8576902,Cluster 0,1
580,646.1342528,Cluster 0,1
581,418.2173667,Cluster 0,1
582,100.9778988,Cluster 0,1
583,103.1149031,Cluster 0,1
584,162.3824665,Cluster 0,1
585,248.3608545,Cluster 0,1
586,237.6052818,Cluster 0,1
587,300.7585216,Cluster 0,1
588,262.7848719,Cluster 0,1
589,161.2214149,Cluster 0,1
590,139.6926174,Cluster 0,1
591,166.363918,Cluster 0,1
592,109.8749444,Cluster 0,1
593,111.4640346,Cluster 0,1
594,119.7000653,Cluster 0,1
595,84.26880456,Cluster 0,1
596,62.26318177,Cluster 0,1
597,84.46078594,Cluster 0,1
598,92.438895,Cluster 0,1
599,52.02762513,Cluster 0,1
600,36.51707983,Cluster 0,1
601,32.84942288,Cluster 0,1
602,24.80843393,Cluster 0,1
603,24.9699577,Cluster 0,1
604,35.64930073,Cluster 0,1
605,56.12981039,Cluster 0,1
606,55.22542277,Cluster 0,1
607,55.43700445,Cluster 0,1
608,151.1837226,Cluster 0,1
609,370.3408306,Cluster 0,1
610,638.3509084,Cluster 0,1
611,641.169505,Cluster 0,1
612,269.7166033,Cluster 0,1
613,101.6447477,Cluster 0,1
614,130.9665718,Cluster 0,1
615,229.1714663,Cluster 0,1
616,253.6087934,Cluster 0,1
617,307.0926276,Cluster 0,1
618,382.2766291,Cluster 0,1
619,243.2434685,Cluster 0,1
620,153.5770938,Cluster 0,1
621,208.008153,Cluster 0,1
622,156.8787386,Cluster 0,1
623,103.3856503,Cluster 0,1
624,165.4320287,Cluster 0,1
625,94.47773742,Cluster 0,1
626,70.18344432,Cluster 0,1
627,56.11781685,Cluster 0,1
628,46.4076898,Cluster 0,1
629,42.35283329,Cluster 0,1
630,40.66257948,Cluster 0,1
631,33.35673355,Cluster 0,1
632,33.74811039,Cluster 0,1
633,25.6000488,Cluster 0,1
634,26.37331436,Cluster 0,1
635,33.16175518,Cluster 0,1
636,53.62379549,Cluster 0,1
637,57.62115877,Cluster 0,1
638,52.70467757,Cluster 0,1
639,153.4998367,Cluster 0,1
640,570.9386143,Cluster 0,1
641,646.0121883,Cluster 0,1
642,483.5646273,Cluster 0,1
643,68.19466153,Cluster 0,1
644,128.0134887,Cluster 0,1
645,246.5235566,Cluster 0,1
646,255.288732,Cluster 0,1
647,329.2737619,Cluster 0,1
648,358.5383344,Cluster 0,1
649,433.4319782,Cluster 0,1
650,182.3302098,Cluster 0,1
651,144.4885611,Cluster 0,1
652,104.4268641,Cluster 0,1
653,153.3922952,Cluster 0,1
654,124.8167609,Cluster 0,1
655,73.95752301,Cluster 0,1
656,40.45272131,Cluster 0,1
657,53.80232209,Cluster 0,1
