fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
204,204,479390.8235,1410666.728,481296.0794,1409016.728,"MultiPolygon (((120.81161264 12.74805914, 120.81599342 12.75552002, 120.82476644 12.75552623, 120.82915818 12.74807155, 120.82477714 12.74061088, 120.81600463 12.74060468, 120.81161264 12.74805914)))",3,2
205,205,479390.8235,1409016.728,481296.0794,1407366.728,"MultiPolygon (((120.8116241 12.7331438, 120.81600463 12.74060468, 120.82477714 12.74061088, 120.82916861 12.7331562, 120.82478782 12.72569552, 120.81601582 12.72568933, 120.8116241 12.7331438)))",3,2
206,206,479390.8235,1407366.728,481296.0794,1405716.728,"MultiPolygon (((120.81163555 12.71822844, 120.81601582 12.72568933, 120.82478782 12.72569552, 120.82917903 12.71824082, 120.82479849 12.71078014, 120.81602701 12.71077395, 120.81163555 12.71822844)))",,
224,224,480819.7654,1436241.728,482725.0213,1434591.728,"MultiPolygon (((120.82460442 12.9792544, 120.82898951 12.98671499, 120.83777058 12.98672087, 120.84216605 12.97926615, 120.8377807 12.97180578, 120.82900015 12.9717999, 120.82460442 12.9792544)))",,
225,225,480819.7654,1434591.728,482725.0213,1432941.728,"MultiPolygon (((120.82461532 12.96433931, 120.82900015 12.9717999, 120.8377807 12.97180578, 120.8421759 12.96435105, 120.8377908 12.95689066, 120.82901077 12.9568848, 120.82461532 12.96433931)))",,
226,226,480819.7654,1432941.728,482725.0213,1431291.728,"MultiPolygon (((120.8246262 12.9494242, 120.82901077 12.9568848, 120.8377908 12.95689066, 120.84218573 12.94943592, 120.83780089 12.94197554, 120.82902138 12.94196968, 120.8246262 12.9494242)))",,
227,227,480819.7654,1431291.728,482725.0213,1429641.728,"MultiPolygon (((120.82463706 12.93450907, 120.82902138 12.94196968, 120.83780089 12.94197554, 120.84219555 12.93452078, 120.83781097 12.92706039, 120.82903198 12.92705454, 120.82463706 12.93450907)))",,
228,228,480819.7654,1429641.728,482725.0213,1427991.728,"MultiPolygon (((120.82464792 12.91959393, 120.82903198 12.92705454, 120.83781097 12.92706039, 120.84220536 12.91960562, 120.83782103 12.91214523, 120.82904257 12.91213938, 120.82464792 12.91959393)))",,
229,229,480819.7654,1427991.728,482725.0213,1426341.728,"MultiPolygon (((120.82465876 12.90467877, 120.82904257 12.91213938, 120.83782103 12.91214523, 120.84221516 12.90469045, 120.83783109 12.89723005, 120.82905314 12.89722421, 120.82465876 12.90467877)))",,
230,230,480819.7654,1426341.728,482725.0213,1424691.728,"MultiPolygon (((120.82466959 12.88976359, 120.82905314 12.89722421, 120.83783109 12.89723005, 120.84222495 12.88977526, 120.83784113 12.88231485, 120.8290637 12.88230902, 120.82466959 12.88976359)))",,
